iter	Passed	Remaining
874	27174	34938
875	27204	34905
876	27235	34875
877	27263	34840
878	27299	34815
879	27330	34784
880	27360	34751
881	27391	34720
882	27429	34697
883	27466	34674
884	27496	34643
885	27527	34610
886	27556	34577
887	27587	34546
888	27623	34521
889	27654	34489
890	27684	34457
891	27713	34424
892	27746	34395
893	27779	34367
894	27819	34347
895	27853	34319
896	27887	34292
897	27920	34262
898	27951	34231
899	27989	34209
900	28023	34181
901	28053	34149
902	28082	34116
903	28113	34084
904	28149	34059
905	28182	34030
906	28210	33996
907	28243	33966
908	28275	33936
909	28305	33904
910	28335	33872
911	28366	33841
912	28393	33804
913	28423	33772
914	28459	33746
915	28486	33710
916	28520	33683
917	28550	33650
918	28585	33624
919	28615	33591
920	28644	33558
921	28677	33529
922	28709	33499
923	28745	33474
924	28783	33451
925	28815	33421
926	28847	33390
927	28884	33367
928	28914	33333
929	28947	33304
930	28980	33275
931	29010	33243
932	29038	33209
933	29070	33179
934	29107	33154
935	29138	33122
936	29171	33094
937	29210	33071
938	29246	33046
939	29280	33018
940	29308	32983
941	29343	32956
942	29377	32928
943	29409	32899
944	29445	32873
945	29474	32839
946	29502	32805
947	29542	32783
948	29572	32751
949	29604	32720
950	29639	32694
951	29675	32667
952	29709	32639
953	29741	32609
954	29771	32577
955	29804	32548
956	29841	32522
957	29877	32496
958	29911	32468
959	29944	32439
960	29982	32415
961	30014	32385
962	30049	32358
963	30087	32334
964	30123	32308
965	30158	32280
966	30195	32255
967	30224	32222
968	30257	32193
969	30285	32159
970	30315	32126
971	30351	32099
972	30381	32067
973	30416	32040
974	30450	32012
975	30483	31983
976	30515	31952
977	30547	31921
978	30580	31892
979	30616	31866
980	30647	31834
981	30676	31800
982	30707	31769
983	30737	31736
984	30767	31704
985	30803	31678
986	30836	31648
987	30870	31620
988	30900	31587
989	30936	31561
990	30970	31533
991	30999	31499
992	31031	31469
993	31063	31438
994	31102	31415
995	31134	31385
996	31170	31357
997	31208	31333
998	31240	31303
999	31278	31278
1000	31314	31251
1001	31344	31219
1002	31375	31187
1003	31404	31153
1004	31437	31124
1005	31468	31093
1006	31496	31058
1007	31525	31025
1008	31563	31000
1009	31597	30971
1010	31628	30940
1011	31657	30906
1012	31686	30873
1013	31714	30839
1014	31744	30805
1015	31777	30776
1016	31810	30746
1017	31852	30726
1018	31885	30696
1019	31917	30665
1020	31949	30635
1021	31978	30602
1022	32008	30568
1023	32039	30537
1024	32077	30512
1025	32113	30485
1026	32146	30456
1027	32175	30422
1028	32204	30389
1029	32234	30356
1030	32262	30322
1031	32297	30294
1032	32327	30262
1033	32363	30234
1034	32402	30210
1035	32437	30183
1036	32467	30150
1037	32502	30122
1038	32532	30090
1039	32561	30056
1040	32590	30023
1041	32620	29990
1042	32651	29959
1043	32688	29933
1044	32723	29905
1045	32761	29880
1046	32793	29849
1047	32834	29826
1048	32875	29803
1049	32908	29774
1050	32937	29741
1051	32966	29707
1052	32998	29676
1053	33025	29641
1054	33057	29610
1055	33094	29584
1056	33129	29556
1057	33169	29532
1058	33205	29505
1059	33234	29471
1060	33267	29441
1061	33305	29416
1062	33338	29386
1063	33372	29358
1064	33408	29330
1065	33444	29303
1066	33481	29276
1067	33511	29243
1068	33543	29212
1069	33573	29180
1070	33601	29146
1071	33633	29115
1072	33671	29089
1073	33708	29063
1074	33738	29030
1075	33769	28998
1076	33800	28967
1077	33841	28944
1078	33877	28916
1079	33918	28893
1080	33960	28870
1081	33996	28843
1082	34029	28813
1083	34062	28783
1084	34091	28749
1085	34125	28720
1086	34158	28690
1087	34189	28659
1088	34219	28626
1089	34254	28597
1090	34290	28570
1091	34325	28542
1092	34356	28509
1093	34388	28479
1094	34422	28449
1095	34460	28423
1096	34497	28396
1097	34534	28369
1098	34571	28343
1099	34606	28314
1100	34643	28287
1101	34676	28257
1102	34706	28224
1103	34743	28197
1104	34778	28169
1105	34827	28151
1106	34869	28128
1107	34907	28102
1108	34947	28077
1109	34990	28055
1110	35030	28031
1111	35063	28000
1112	35098	27971
1113	35137	27946
1114	35172	27917
1115	35211	27891
1116	35247	27863
1117	35291	27841
1118	35327	27813
1119	35363	27785
1120	35399	27757
1121	35433	27727
1122	35461	27693
1123	35493	27662
1124	35523	27629
1125	35555	27598
1126	35588	27567
1127	35625	27540
1128	35661	27511
1129	35698	27484
1130	35728	27451
1131	35760	27420
1132	35791	27388
1133	35822	27356
1134	35864	27333
1135	35897	27302
1136	35927	27269
1137	35964	27241
1138	35997	27211
1139	36042	27190
1140	36080	27162
1141	36120	27138
1142	36161	27113
1143	36199	27086
1144	36239	27061
1145	36278	27034
1146	36317	27008
1147	36352	26979
1148	36387	26950
1149	36423	26921
1150	36465	26897
1151	36499	26867
1152	36540	26842
1153	36573	26812
1154	36612	26785
1155	36647	26756
1156	36678	26723
1157	36709	26692
1158	36739	26659
1159	36771	26627
1160	36803	26596
1161	36837	26566
1162	36871	26536
1163	36905	26506
1164	36936	26473
1165	36964	26439
1166	36997	26409
1167	37037	26382
1168	37073	26354
1169	37111	26326
1170	37153	26302
1171	37191	26275
1172	37237	26253
1173	37283	26231
1174	37323	26205
1175	37368	26183
1176	37408	26157
1177	37447	26130
1178	37484	26102
